,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
49,015487.OF,蜂巢丰泰三个月定开A,蜂巢基金,浙商银行,债券型,20221103,,,20220909,,22.6007,0.3,0.08,,1.0,0.0001,,中债综合全价(总值)指数收益率*90%+1年期银行定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
50,016742.OF,华安大中华升级C,华安基金,中国银行,股票型,20221103,,,,,,1.5,0.3,,1.0,,,MSCI金龙净总收益指数,L,股票型,契约型开放式,,20221103,20221104,O
51,017109.OF,海富通瑞福C,海富通基金,宁波银行,债券型,20221103,,,,,,0.3,0.1,,1.0,,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,20221103,20221104,O
52,016468.OF,华安鼎丰C,华安基金,交通银行,债券型,20221103,,,,,,0.3,0.1,,1.0,,,中债综合指数(总财富)收益率*90%+1年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,20221103,20221104,O
53,015488.OF,蜂巢丰泰三个月定开C,蜂巢基金,浙商银行,债券型,20221103,,,20220909,,0.0001,0.3,0.08,,1.0,0.0001,,中债综合全价(总值)指数收益率*90%+1年期银行定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
54,016564.OF,华安安顺C,华安基金,交通银行,混合型,20221103,,,,,,1.5,0.25,,1.0,,,中证800指数收益率*50%+中国债券总指数收益率*50%,L,灵活配置型,契约型开放式,,20221103,20221104,O
55,508066.SH,华泰江苏交控REIT,华泰证券资管,中国建设银行,REITs,20221103,,,20221028,,4.0,0.3,0.01,12.0,1.0,0.1,,,I,,契约型封闭式,,,,E
56,561180.OF,富国中证100ETF,富国基金,中国建设银行,股票型,20221103,,,20220817,,24.9361,0.5,0.1,,1.0,0.1,,中证100指数收益率,L,被动指数型,契约型开放式,,,,O
57,920019.OF,中金优势领航一年持有A,中金公司,中国建设银行,混合型,20221103,,,20221103,,,0.8,0.2,,1.0,,,中证800指数收益率*75%+中债综合财富指数收益率*25%,L,混合型,契约型开放式,,20221104,20221104,O
58,970206.OF,中金优势领航一年持有C,中金公司,中国建设银行,混合型,20221103,,,,,,0.8,0.2,,1.0,,,中证800指数收益率*75%+中债综合财富指数收益率*25%,L,混合型,契约型开放式,,20221104,20221104,O
59,513310.OF,华泰柏瑞中证韩交所中韩半导体ETF,华泰柏瑞基金,中国建设银行,股票型,20221102,,,20221024,,3.5443,0.8,0.15,,1.0,0.1,,中证韩交所中韩半导体指数收益率,L,被动指数型,契约型开放式,,,,O
60,016766.OF,中欧行业景气一年持有A,中欧基金,中国工商银行,混合型,20221102,,,20220926,,4.4618,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+银行活期存款利率(税后)*20%,L,混合型,契约型开放式,,,,O
61,016767.OF,中欧行业景气一年持有C,中欧基金,中国工商银行,混合型,20221102,,,20220926,,0.4985,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+银行活期存款利率(税后)*20%,L,混合型,契约型开放式,,,,O
62,016239.OF,泰信添鑫中短债A,泰信基金,交通银行,债券型,20221102,,,20221017,,7.3141,0.3,0.1,,1.0,0.001,,中债综合财富(1-3年)指数收益率*80%+人民币活期存款收益率(税后)*20%,L,债券型,契约型开放式,,,,O
63,015260.OF,鹏华永鑫一年定开,鹏华基金,中国邮政储蓄银行,债券型,20221102,,,20220805,,79.9513,0.3,0.1,,1.0,0.0001,,中证综合债指数收益率*90%+银行活期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
64,016240.OF,泰信添鑫中短债C,泰信基金,交通银行,债券型,20221102,,,20221017,,2.0833,0.3,0.1,,1.0,0.001,,中债综合财富(1-3年)指数收益率*80%+人民币活期存款收益率(税后)*20%,L,债券型,契约型开放式,,,,O
65,016229.OF,创金合信星和稳健6个月持有A,创金合信基金,平安银行,混合型,20221102,,,20221026,,0.0505,0.8,0.15,,1.0,0.0001,,中债综合(全价)指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,,,O
66,017028.OF,国泰标普500联接A,国泰基金,招商银行,股票型,20221102,,,20221101,,0.1,0.6,0.15,,1.0,0.0001,,标普500指数收益率(经估值汇率调整)*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20221109,20221109,O
67,017030.OF,国泰标普500联接C,国泰基金,招商银行,股票型,20221102,,,20221101,,0.0,0.6,0.15,,1.0,0.0001,,标普500指数收益率(经估值汇率调整)*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20221109,20221109,O
68,017090.OF,景顺长城能源基建C,景顺长城基金,中国农业银行,混合型,20221102,,,,,,1.5,0.25,,1.0,,,沪深300指数*80%+中证全债指数*20%,L,混合型,契约型开放式,,20221102,20221102,O
69,016230.OF,创金合信星和稳健6个月持有C,创金合信基金,平安银行,混合型,20221102,,,20221026,,0.05,0.8,0.15,,1.0,0.0001,,中债综合(全价)指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,,,O
70,016599.OF,富国睿利定期开放C,富国基金,招商银行,混合型,20221102,,,,,,1.5,0.2,,1.0,,,三年期人民币定期存款基准利率(税后)+1.50%,L,混合型,契约型开放式,,20221102,20221102,O
71,016860.OF,民生加银同业存单指数7天持有,民生加银基金,招商银行,债券型,20221101,,,20221024,,19.8438,0.2,0.05,,1.0,0.0001,,中证同业存单AAA指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
72,015531.OF,鹏华稳福中短债C,鹏华基金,中国银行,债券型,20221101,,,20220920,,5.7622,0.3,0.07,,1.0,0.0001,,中债综合财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,,,O
73,015532.OF,鹏华稳福中短债E,鹏华基金,中国银行,债券型,20221101,,,20220920,,0.008,0.3,0.07,,1.0,0.0001,,中债综合财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,,,O
74,016555.OF,中银稳健景盈一年持有,中银基金,华夏银行,混合型,20221101,,,20221010,,2.5898,0.8,0.15,,1.0,0.001,,中债综合全价(总值)指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
75,970200.OF,国信安泰中短债C,国信证券,中国建设银行,债券型,20221101,,,,,,0.3,0.1,,1.0,,,中债新综合财富(1-3年)指数收益率*85%+一年期定期存款利率(税后)*15%,L,债券型,契约型开放式,,20221101,20221101,O
76,933333.OF,国信安泰中短债A,国信证券,中国建设银行,债券型,20221101,,,20221101,,,0.3,0.1,,1.0,,,中债新综合财富(1-3年)指数收益率*85%+一年期定期存款利率(税后)*15%,L,债券型,契约型开放式,,20221101,20221101,O
77,501222.OF,易方达如意招享一年封闭,易方达基金,招商银行,混合型,20221101,,,20220805,,7.4701,0.6,0.15,,1.0,0.0001,,中债新综合指数(财富)收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,,,O
78,015954.OF,信澳鑫享C,信达澳亚基金,中国邮政储蓄银行,债券型,20221101,,,20221010,,0.0275,0.7,0.2,,1.0,0.001,,中债综合财富(总值)指数收益率*90%+中证800指数收益率*8%+中证港股通综合指数收益率*2%,L,债券型,契约型开放式,,,,O
79,015953.OF,信澳鑫享A,信达澳亚基金,中国邮政储蓄银行,债券型,20221101,,,20221010,,2.668,0.7,0.2,,1.0,0.001,,中债综合财富(总值)指数收益率*90%+中证800指数收益率*8%+中证港股通综合指数收益率*2%,L,债券型,契约型开放式,,,,O
80,015530.OF,鹏华稳福中短债A,鹏华基金,中国银行,债券型,20221101,,,20220920,,10.0358,0.3,0.07,,1.0,0.0001,,中债综合财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,,,,O
81,852289.OF,海通策略优选C,海通资管,中国民生银行,混合型,20221031,,,,,,1.0,0.2,,1.0,,,中证800指数收益率*70%+商业银行活期存款利率(税后)*20%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,,,O
82,852200.OF,海通策略优选A,海通资管,中国民生银行,混合型,20221031,,,20221031,,,1.0,0.2,,1.0,,,中证800指数收益率*70%+商业银行活期存款利率(税后)*20%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,,,O
83,015422.OF,南方浩鑫稳健优选6个月持有C,南方基金,中国银行,混合型,20221031,,,20220728,,0.4827,1.0,0.2,,1.0,0.0001,,中证全债指数收益率*85%+沪深300指数收益率*10%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,,,O
84,970167.OF,粤开现金惠,粤开证券,中国证券登记结算公司,货币市场型,20221031,,,20221031,,,0.45,0.05,,1.0,,,同期中国人民银行公布的七天通知存款利率(税后),L,货币型,契约型开放式,,20221031,20221031,O
85,016152.OF,国融稳泰C,国融基金,上海银行,债券型,20221031,,,20220801,,0.2011,0.3,0.1,,1.0,0.0001,,中债-综合全价(总值)指数收益率,L,债券型,契约型开放式,,20221107,20221107,O
86,016158.OF,汇添富数字经济核心产业一年持有C,汇添富基金,中国工商银行,混合型,20221031,,,20220728,,0.0752,1.5,0.25,,1.0,0.001,,中证文体指数收益率*20%+中证TMT产业主题指数收益率*20%+中证消费服务领先指数收益率*20%+恒生指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,L,混合型,契约型开放式,,,,O
87,016159.OF,汇添富数字经济核心产业一年持有D,汇添富基金,中国工商银行,混合型,20221031,,,20220728,,0.0043,1.5,0.25,,1.0,0.001,,中证文体指数收益率*20%+中证TMT产业主题指数收益率*20%+中证消费服务领先指数收益率*20%+恒生指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,L,混合型,契约型开放式,,,,O
88,970183.OF,恒泰现金添利,恒泰证券,中国证券登记结算公司,货币市场型,20221031,,,20221031,,,0.3,0.05,,1.0,,,同期中国人民银行公布的七天通知存款利率(税后),L,货币型,契约型开放式,,,,O
89,016931.OF,国泰惠富纯债C,国泰基金,华夏银行,债券型,20221031,,,,,,0.3,0.1,,1.0,,,中证综合债指数收益率,L,债券型,契约型开放式,,20221031,20221101,O
90,016151.OF,国融稳泰A,国融基金,上海银行,债券型,20221031,,,20220801,,1.9022,0.3,0.1,,1.0,0.0001,,中债-综合全价(总值)指数收益率,L,债券型,契约型开放式,,20221107,20221107,O
91,016930.OF,国泰惠盈纯债C,国泰基金,华夏银行,债券型,20221031,,,,,,0.3,0.1,,1.0,,,中证综合债指数收益率,L,债券型,契约型开放式,,20221031,20221101,O
92,015421.OF,南方浩鑫稳健优选6个月持有A,南方基金,中国银行,混合型,20221031,,,20220728,,1.7601,1.0,0.2,,1.0,0.0001,,中证全债指数收益率*85%+沪深300指数收益率*10%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,,,O
93,016157.OF,汇添富数字经济核心产业一年持有A,汇添富基金,中国工商银行,混合型,20221031,,,20220728,,2.1282,1.5,0.25,,1.0,0.001,,中证文体指数收益率*20%+中证TMT产业主题指数收益率*20%+中证消费服务领先指数收益率*20%+恒生指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,L,混合型,契约型开放式,,,,O
94,016539.OF,国泰丰盈纯债C,国泰基金,浙商银行,债券型,20221028,,,,,,0.3,0.1,,1.0,,,中证综合债指数收益率,L,债券型,契约型开放式,,20221028,20221031,O
95,016932.OF,国泰丰祺纯债C,国泰基金,中国光大银行,债券型,20221028,,,,,,0.3,0.1,,1.0,,,中证综合债指数收益率,L,债券型,契约型开放式,,20221028,20221029,O
96,015884.OF,中欧港股数字经济A,中欧基金,中国工商银行,混合型,20221028,,,20221017,,0.1392,1.8,0.35,,1.0,0.0001,,恒生科技指数收益率*80%+银行活期存款利率(税后)*20%,L,混合型,契约型开放式,,,,O
97,016023.OF,兴业添益6个月定开,兴业基金,平安银行,债券型,20221028,,,20221017,,32.5009,0.3,0.1,,1.0,0.0001,,中国债券综合全价指数收益率,L,债券型,契约型开放式,,,,O
98,016920.OF,上投摩根整合驱动C,上投摩根基金,中国银行,混合型,20221028,,,,,,1.5,0.25,,1.0,,,中证800指数收益率*60%+中债总指数收益率*40%,L,灵活配置型,契约型开放式,,20221028,20221031,O
99,016921.OF,上投摩根香港精选港股通C,上投摩根基金,中国工商银行,混合型,20221028,,,,,,1.5,0.25,,1.0,,,中证港股通综合指数收益率*70%+中债总指数收益率*30%,L,混合型,契约型开放式,,20221028,20221031,O
100,016919.OF,上投摩根智慧互联C,上投摩根基金,中国工商银行,股票型,20221028,,,,,,1.5,0.25,,1.0,,,中证800指数收益率*85%+中债总指数收益率*15%,L,股票型,契约型开放式,,20221028,20221031,O
101,016552.OF,诺德策略回报C,诺德基金,中国农业银行,股票型,20221028,,,20220928,,0.9766,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*80%+中国债券总指数收益率*10%+恒生指数收益率*10%,L,股票型,契约型开放式,,,,O
102,016551.OF,诺德策略回报A,诺德基金,中国农业银行,股票型,20221028,,,20220928,,1.4256,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*80%+中国债券总指数收益率*10%+恒生指数收益率*10%,L,股票型,契约型开放式,,,,O
103,016739.OF,嘉实领航聚利稳健配置6个月持有,嘉实基金,招商银行,混合型,20221028,,,20221026,,0.1,0.3,0.1,,1.0,0.0001,,中债总财富指数收益率*90%+中证800指数收益率*10%,L,混合型,契约型开放式,,20221109,,O
104,015885.OF,中欧港股数字经济C,中欧基金,中国工商银行,混合型,20221028,,,20221017,,0.0579,1.8,0.35,,1.0,0.0001,,恒生科技指数收益率*80%+银行活期存款利率(税后)*20%,L,混合型,契约型开放式,,,,O
105,016935.OF,景顺长城中证500指数增强C,景顺长城基金,中国银行,股票型,20221027,,,,,,1.2,0.2,,1.0,,,中证500指数收益率*95%+商业银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20221027,20221027,O
106,017044.OF,新华聚利E,新华基金,中国农业银行,债券型,20221027,,,,,,0.3,0.1,,1.0,,,中债综合全价指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20221027,20221027,O
107,016812.OF,长信稳航30天持有A,长信基金,招商银行,债券型,20221027,,,20221024,,0.353,0.2,0.05,,1.0,0.0001,,中债综合财富(1年以下)指数收益率*80%+中国人民银行人民币活期存款利率(税后)*20%,L,债券型,契约型开放式,,,,O
108,016813.OF,长信稳航30天持有C,长信基金,招商银行,债券型,20221027,,,20221024,,3.3426,0.2,0.05,,1.0,0.0001,,中债综合财富(1年以下)指数收益率*80%+中国人民银行人民币活期存款利率(税后)*20%,L,债券型,契约型开放式,,,,O
109,016925.OF,华夏鼎辉A,华夏基金,徽商银行,债券型,20221027,,,20221019,,2.5001,0.3,0.1,,1.0,0.0001,,中债综合指数收益率,L,债券型,契约型开放式,,20221101,20221101,O
110,016926.OF,华夏鼎辉C,华夏基金,徽商银行,债券型,20221027,,,20221019,,0.0,0.3,0.1,,1.0,0.0001,,中债综合指数收益率,L,债券型,契约型开放式,,20221101,20221101,O
111,016188.OF,南方景气楚荟3个月持有C,南方基金,招商银行,混合型,20221027,,,20220801,,1.5657,1.0,0.2,,1.0,0.0001,,沪深300指数收益率*70%+上证国债指数收益率*30%,L,混合型,契约型开放式,,,,O
